Dates,Infected,Vaccinated,Recovered,Deaths
5/28/2020,2731.0,234.0,2185.0,82.0
5/29/2020,2769.0,238.0,2195.0,82.0
5/30/2020,2803.0,240.0,2225.0,82.0
5/31/2020,2839.0,242.0,2248.0,82.0
6/1/2020,2839.0,242.0,2248.0,82.0
6/2/2020,2906.0,247.0,2266.0,83.0
6/3/2020,2933.0,251.0,2282.0,83.0
6/4/2020,2990.0,253.0,2311.0,83.0
6/5/2020,3054.0,255.0,2362.0,83.0
6/6/2020,3111.0,257.0,2408.0,83.0
6/7/2020,3139.0,260.0,2461.0,83.0
6/8/2020,3139.0,260.0,2461.0,83.0
6/9/2020,3189.0,260.0,2509.0,83.0
6/10/2020,3220.0,262.0,2554.0,85.0
6/11/2020,3260.0,262.0,2628.0,85.0
6/12/2020,3302.0,265.0,2684.0,86.0
6/13/2020,3353.0,265.0,2776.0,87.0
6/14/2020,3399.0,266.0,2837.0,87.0
6/15/2020,3399.0,266.0,2837.0,87.0
6/16/2020,3462.0,270.0,2877.0,88.0
6/17/2020,3540.0,275.0,2921.0,88.0
6/18/2020,3632.0,275.0,3013.0,88.0
6/19/2020,3743.0,278.0,3088.0,89.0
6/20/2020,3871.0,279.0,3183.0,89.0
6/21/2020,4006.0,283.0,3305.0,89.0
6/22/2020,4006.0,283.0,3305.0,89.0
6/23/2020,4254.0,293.0,3405.0,89.0
6/24/2020,4402.0,298.0,3484.0,89.0
6/25/2020,4645.0,300.0,3610.0,90.0
6/26/2020,4865.0,303.0,3712.0,90.0
6/27/2020,5148.0,309.0,3827.0,90.0
6/28/2020,5319.0,312.0,3898.0,91.0
6/29/2020,5319.0,312.0,3898.0,91.0
6/30/2020,5752.0,322.0,4073.0,91.0
7/1/2020,6117.0,330.0,4233.0,92.0
7/2/2020,6370.0,340.0,4393.0,92.0
7/3/2020,6593.0,350.0,2801.0,92.0
7/4/2020,6994.0,355.0,2831.0,93.0
7/5/2020,7370.0,359.0,2858.0,93.0
7/6/2020,7733.0,369.0,2886.0,93.0
7/7/2020,8052.0,387.0,2907.0,94.0
7/8/2020,8539.0,396.0,2932.0,94.0
7/9/2020,8969.0,411.0,2978.0,98.0
7/10/2020,9428.0,432.0,3022.0,100.0
7/11/2020,9928.0,449.0,3066.0,101.0
7/12/2020,10505.0,468.0,3114.0,102.0
7/13/2020,10902.0,477.0,3179.0,102.0
7/14/2020,11402.0,500.0,3262.0,102.0
7/15/2020,11718.0,510.0,3360.0,103.0
7/16/2020,12445.0,526.0,3513.0,110.0
7/17/2020,13133.0,554.0,3676.0,114.0
7/18/2020,13752.0,570.0,3827.0,118.0
